CASE_COUNT,CASE_COUNT_7DAY_AVG,CASE_COUNT_PREV_0,CASE_COUNT_PREV_1,CASE_COUNT_PREV_2,CASE_COUNT_PREV_3,CASE_COUNT_PREV_4,CASE_COUNT_PREV_5,DEATH_COUNT,DEATH_COUNT_7DAY_AVG,DEATH_COUNT_PREV_0,DEATH_COUNT_PREV_1,DEATH_COUNT_PREV_2,DEATH_COUNT_PREV_3,DEATH_COUNT_PREV_4,DEATH_COUNT_PREV_5,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
163,69.71428571428571,166.0,96.0,31.0,11.0,16.0,5.0,1,46.57142857142857,166.0,96.0,31.0,11.0,16.0,5.0,-8.0,25.0,53.0,-16.0,-4.0,4.0
176,87.28571428571429,182.0,137.0,62.0,24.0,24.0,6.0,1,62.285714285714285,182.0,137.0,62.0,24.0,24.0,6.0,-37.0,7.0,-14.0,-35.0,-9.0,5.0
194,74.28571428571429,166.0,80.0,40.0,24.0,10.0,6.0,1,46.714285714285715,166.0,80.0,40.0,24.0,10.0,6.0,-6.0,26.0,67.0,-20.0,-3.0,4.0
23,10.142857142857142,26.0,13.0,3.0,2.0,3.0,1.0,0,6.857142857142857,26.0,13.0,3.0,2.0,3.0,1.0,-11.0,15.0,30.0,-13.0,-1.0,4.0
119,49.142857142857146,86.0,79.0,29.0,19.0,8.0,4.0,1,32.285714285714285,86.0,79.0,29.0,19.0,8.0,4.0,-7.0,17.0,21.0,-14.0,-10.0,4.0
432,130.71428571428572,163.0,166.0,96.0,31.0,11.0,16.0,0,69.0,163.0,166.0,96.0,31.0,11.0,16.0,-15.0,15.0,35.0,-22.0,-9.0,5.0
205,115.71428571428571,176.0,182.0,137.0,62.0,24.0,24.0,2,86.71428571428571,176.0,182.0,137.0,62.0,24.0,24.0,-46.0,-2.0,-28.0,-42.0,-17.0,7.0
231,106.42857142857143,194.0,166.0,80.0,40.0,24.0,10.0,1,73.57142857142857,194.0,166.0,80.0,40.0,24.0,10.0,-13.0,17.0,69.0,-27.0,-10.0,5.0
47,16.714285714285715,23.0,26.0,13.0,3.0,2.0,3.0,0,10.0,23.0,26.0,13.0,3.0,2.0,3.0,-13.0,8.0,42.0,-18.0,-6.0,5.0
305,92.14285714285714,119.0,86.0,79.0,29.0,19.0,8.0,3,49.0,119.0,86.0,79.0,29.0,19.0,8.0,-10.0,24.0,-19.0,-27.0,-23.0,10.0
740,234.14285714285714,432.0,163.0,166.0,96.0,31.0,11.0,2,128.71428571428572,432.0,163.0,166.0,96.0,31.0,11.0,-16.0,24.0,-12.0,-33.0,-32.0,14.0
457,177.57142857142858,205.0,176.0,182.0,137.0,62.0,24.0,0,112.28571428571429,205.0,176.0,182.0,137.0,62.0,24.0,-48.0,-4.0,-40.0,-48.0,-48.0,18.0
528,180.42857142857142,231.0,194.0,166.0,80.0,40.0,24.0,4,105.57142857142857,231.0,194.0,166.0,80.0,40.0,24.0,-15.0,29.0,-1.0,-34.0,-27.0,13.0
91,29.285714285714285,47.0,23.0,26.0,13.0,3.0,2.0,0,16.285714285714285,47.0,23.0,26.0,13.0,3.0,2.0,-10.0,20.0,-10.0,-34.0,-26.0,12.0
343,140.0,305.0,119.0,86.0,79.0,29.0,19.0,1,91.14285714285714,305.0,119.0,86.0,79.0,29.0,19.0,-22.0,18.0,-21.0,-31.0,-29.0,13.0
783,344.42857142857144,740.0,432.0,163.0,166.0,96.0,31.0,7,233.57142857142858,740.0,432.0,163.0,166.0,96.0,31.0,-27.0,19.0,-2.0,-39.0,-37.0,17.0
567,255.14285714285714,457.0,205.0,176.0,182.0,137.0,62.0,0,174.14285714285714,457.0,205.0,176.0,182.0,137.0,62.0,-61.0,-9.0,-40.0,-55.0,-55.0,21.0
650,269.85714285714283,528.0,231.0,194.0,166.0,80.0,40.0,3,177.42857142857142,528.0,231.0,194.0,166.0,80.0,40.0,-26.0,24.0,12.0,-40.0,-35.0,17.0
