ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00961,41980,BAYAMON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00962,41980,CATANO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00963,41980,CATANO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00965,41980,GUAYNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00966,41980,GUAYNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00968,41980,GUAYNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00969,41980,GUAYNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00970,41980,GUAYNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00971,41980,GUAYNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00975,41980,SAN JUAN,PR,0.000000000,1.000000000,1.000000000,1.000000000
00976,41980,TRUJILLO ALTO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00977,41980,TRUJILLO ALTO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00979,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00981,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00982,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00983,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00984,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00985,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00986,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00987,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00988,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
01001,44140,AGAWAM,MA,1.000000000,1.000000000,1.000000000,1.000000000
01002,11200,AMHERST,MA,0.989071508,0.998866213,0.997402597,0.990205681
01002,24640,AMHERST,MA,0.010928492,0.001133787,0.002597403,0.009794319
01003,11200,AMHERST,MA,1.000000000,1.000000000,1.000000000,1.000000000
01004,11200,AMHERST,MA,1.000000000,1.000000000,1.000000000,1.000000000
01005,49340,BARRE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01007,11200,BELCHERTOWN,MA,1.000000000,1.000000000,1.000000000,1.000000000
01008,44140,BLANDFORD,MA,0.858131488,0.952380952,0.960000000,0.865384615
01008,38340,BLANDFORD,MA,0.141868512,0.047619048,0.040000000,0.134615385
01009,44140,BONDSVILLE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01010,49340,BRIMFIELD,MA,0.027872582,0.000000000,0.000000000,0.027041943
01010,44140,BRIMFIELD,MA,0.972127418,1.000000000,1.000000000,0.972958057
01011,44140,CHESTER,MA,0.886120996,0.975000000,1.000000000,0.894308943
01011,11200,CHESTER,MA,0.113879004,0.025000000,0.000000000,0.105691057
01012,11200,CHESTERFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01013,44140,CHICOPEE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01014,44140,CHICOPEE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01020,44140,CHICOPEE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01021,44140,CHICOPEE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01022,44140,CHICOPEE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01026,38340,CUMMINGTON,MA,0.046875000,0.000000000,0.000000000,0.043338684
01026,11200,CUMMINGTON,MA,0.953125000,1.000000000,1.000000000,0.956661316
01027,11200,EASTHAMPTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01028,44140,EAST LONGMEADOW,MA,1.000000000,1.000000000,1.000000000,1.000000000
01029,38340,EAST OTIS,MA,1.000000000,0.000000000,1.000000000,1.000000000
01030,44140,FEEDING HILLS,MA,1.000000000,1.000000000,1.000000000,1.000000000
01031,49340,GILBERTVILLE,MA,0.998305085,0.941176471,1.000000000,0.996753247
01031,11200,GILBERTVILLE,MA,0.001694915,0.058823529,0.000000000,0.003246753
01032,11200,GOSHEN,MA,1.000000000,1.000000000,1.000000000,1.000000000
01033,11200,GRANBY,MA,0.998004561,1.000000000,1.000000000,0.998139782
01033,44140,GRANBY,MA,0.001995439,0.000000000,0.000000000,0.001860218
01034,44140,GRANVILLE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01035,11200,HADLEY,MA,1.000000000,1.000000000,1.000000000,1.000000000
01036,44140,HAMPDEN,MA,1.000000000,1.000000000,1.000000000,1.000000000
01037,49340,HARDWICK,MA,1.000000000,1.000000000,0.000000000,1.000000000
01038,11200,HATFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01039,24640,HAYDENVILLE,MA,0.188133140,0.000000000,0.093750000,0.181693989
01039,11200,HAYDENVILLE,MA,0.811866860,1.000000000,0.906250000,0.818306011
01040,44140,HOLYOKE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01041,44140,HOLYOKE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01050,11200,HUNTINGTON,MA,0.874500400,1.000000000,0.965517241,0.878367975
